AUN,School District,County,"2022-23
108110603,Blacklick Valley SD,Cambria,"$6,249,247 ","$254,008.89 ","$5,995,238 ","$5,107,349.19 ","$887,888.43 ","$5,606,220.92 ","$643,026.00 ",0.11
108111203,Cambria Heights SD,Cambria,"$10,176,040 ",$0.00 ,"$10,176,040 ","$9,298,144.91 ","$877,894.80 ","$9,883,233.45 ","$292,807.00 ",0.03
108111303,Central Cambria SD,Cambria,"$7,816,620 ",$0.00 ,"$7,816,620 ","$7,140,688.52 ","$675,930.99 ","$7,566,931.98 ","$249,688.00 ",0.03
108111403,Conemaugh Valley SD,Cambria,"$6,240,020 ",$0.00 ,"$6,240,020 ","$5,719,640.12 ","$520,379.42 ","$6,025,377.29 ","$214,643.00 ",0.04
108112003,Ferndale Area SD,Cambria,"$6,266,528 ","$225,821.64 ","$6,040,706 ","$5,251,346.55 ","$789,359.86 ","$5,781,792.77 ","$484,735.00 ",0.08
108112203,Forest Hills SD,Cambria,"$13,200,474 ",$0.00 ,"$13,200,474 ","$12,229,941.30 ","$970,532.75 ","$12,723,834.23 ","$476,640.00 ",0.04
108112502,Greater Johnstown SD,Cambria,"$24,983,859 ","$1,630,781.33 ","$23,353,078 ","$17,652,679.38 ","$5,700,398.42 ","$22,159,475.73 ","$2,824,383.00 ",0.13
108114503,Northern Cambria SD,Cambria,"$9,477,907 ",$0.00 ,"$9,477,907 ","$8,469,189.17 ","$1,008,718.08 ","$8,984,575.11 ","$493,332.00 ",0.05
108116003,Penn Cambria SD,Cambria,"$10,128,119 ",$0.00 ,"$10,128,119 ","$9,397,588.29 ","$730,530.96 ","$9,894,620.58 ","$233,498.00 ",0.02
108116303,Portage Area SD,Cambria,"$7,164,682 ",$0.00 ,"$7,164,682 ","$6,553,829.79 ","$610,851.95 ","$6,872,779.91 ","$291,902.00 ",0.04
108116503,Richland SD,Cambria,"$3,879,660 ",$0.00 ,"$3,879,660 ","$3,036,332.79 ","$843,327.56 ","$3,460,491.56 ","$419,168.00 ",0.12
108118503,Westmont Hilltop SD,Cambria,"$4,568,143 ",$0.00 ,"$4,568,143 ","$3,833,812.92 ","$734,329.84 ","$4,292,979.07 ","$275,164.00 ",0.06
109122703,Cameron County SD,Cameron,"$6,302,446 ","$240,175.38 ","$6,062,271 ","$5,222,737.25 ","$839,533.37 ","$5,662,479.30 ","$639,967.00 ",0.11
121135003,Jim Thorpe Area SD,Carbon,"$4,631,039 ",$0.00 ,"$4,631,039 ","$2,729,285.72 ","$1,901,753.56 ","$3,888,722.45 ","$742,317.00 ",0.19
121135503,Lehighton Area SD,Carbon,"$10,112,772 ",$0.00 ,"$10,112,772 ","$8,318,580.22 ","$1,794,191.79 ","$9,642,179.01 ","$470,593.00 ",0.05
121136503,Palmerton Area SD,Carbon,"$7,266,262 ",$0.00 ,"$7,266,262 ","$6,186,464.34 ","$1,079,798.00 ","$6,825,706.92 ","$440,555.00 ",0.06
121136603,Panther Valley SD,Carbon,"$12,022,365 ","$893,066.68 ","$11,129,298 ","$8,007,581.79 ","$3,121,715.82 ","$9,747,551.63 ","$2,274,813.00 ",0.23
121139004,Weatherly Area SD,Carbon,"$4,011,938 ",$0.00 ,"$4,011,938 ","$2,997,054.54 ","$1,014,883.04 ","$3,336,464.63 ","$675,473.00 ",0.20
110141003,Bald Eagle Area SD,Centre,"$9,141,661 ",$0.00 ,"$9,141,661 ","$7,847,879.88 ","$1,293,780.83 ","$8,559,353.83 ","$582,307.00 ",0.07
110141103,Bellefonte Area SD,Centre,"$9,348,214 ",$0.00 ,"$9,348,214 ","$7,949,157.18 ","$1,399,056.47 ","$8,845,206.46 ","$503,008.00 ",0.06
110147003,Penns Valley Area SD,Centre,"$6,088,189 ",$0.00 ,"$6,088,189 ","$4,892,568.44 ","$1,195,620.13 ","$5,532,655.94 ","$555,533.00 ",0.10
110148002,State College Area SD,Centre,"$10,600,367 ",$0.00 ,"$10,600,367 ","$6,440,590.52 ","$4,159,776.24 ","$9,039,482.88 ","$1,560,884.00 ",0.17
124150503,Avon Grove SD,Chester,"$16,423,214 ",$0.00 ,"$16,423,214 ","$14,384,056.96 ","$2,039,157.22 ","$15,781,865.45 ","$641,349.00 ",0.04
124151902,Coatesville Area SD,Chester,"$31,134,015 ","$1,568,102.99 ","$29,565,912 ","$24,084,606.29 ","$5,481,306.18 ","$27,226,996.31 ","$3,907,019.00 ",0.14
124152003,Downingtown Area SD,Chester,"$17,185,627 ",$0.00 ,"$17,185,627 ","$13,508,744.74 ","$3,676,881.95 ","$15,732,744.63 ","$1,452,882.00 ",0.09
124153503,Great Valley SD,Chester,"$3,562,574 ",$0.00 ,"$3,562,574 ","$2,277,607.72 ","$1,284,966.05 ","$3,038,518.40 ","$524,056.00 ",0.17
124154003,Kennett Consolidated SD,Chester,"$7,359,166 ",$0.00 ,"$7,359,166 ","$5,118,283.89 ","$2,240,882.23 ","$6,362,412.80 ","$996,753.00 ",0.16
124156503,Octorara Area SD,Chester,"$7,127,291 ",$0.00 ,"$7,127,291 ","$5,763,111.61 ","$1,364,179.35 ","$6,757,188.48 ","$370,103.00 ",0.05
124156603,Owen J Roberts SD,Chester,"$7,551,728 ",$0.00 ,"$7,551,728 ","$5,322,979.00 ","$2,228,748.79 ","$6,594,276.78 ","$957,451.00 ",0.15
124156703,Oxford Area SD,Chester,"$15,324,976 ","$733,681.26 ","$14,591,295 ","$12,026,710.90 ","$2,564,583.88 ","$13,634,778.78 ","$1,690,197.00 ",0.12
124157203,Phoenixville Area SD,Chester,"$6,029,885 ",$0.00 ,"$6,029,885 ","$4,208,034.17 ","$1,821,851.03 ","$5,429,495.95 ","$600,389.00 ",0.11
124157802,Tredyffrin-Easttown SD,Chester,"$4,626,355 ",$0.00 ,"$4,626,355 ","$3,186,362.63 ","$1,439,991.94 ","$4,037,287.54 ","$589,067.00 ",0.15
124158503,Unionville-Chadds Ford SD,Chester,"$3,880,366 ",$0.00 ,"$3,880,366 ","$3,005,342.63 ","$875,023.43 ","$3,515,630.31 ","$364,736.00 ",0.10
124159002,West Chester Area SD,Chester,"$10,937,279 ",$0.00 ,"$10,937,279 ","$7,247,318.12 ","$3,689,961.20 ","$9,575,706.04 ","$1,361,573.00 ",0.14
106160303,Allegheny-Clarion Valley SD,Clarion,"$6,122,093 ",$0.00 ,"$6,122,093 ","$5,742,112.98 ","$379,980.02 ","$5,993,199.00 ","$128,894.00 ",0.02
106161203,Clarion Area SD,Clarion,"$3,674,158 ","$202,137.03 ","$3,472,021 ","$2,765,450.58 ","$706,570.28 ","$3,297,378.73 ","$376,779.00 ",0.11
106161703,Clarion-Limestone Area SD,Clarion,"$5,581,151 ",$0.00 ,"$5,581,151 ","$4,907,982.09 ","$673,168.83 ","$5,280,185.46 ","$300,966.00 ",0.06
106166503,Keystone  SD,Clarion,"$7,714,083 ",$0.00 ,"$7,714,083 ","$6,756,699.65 ","$957,382.96 ","$7,250,173.12 ","$463,910.00 ",0.06
106167504,North Clarion County SD,Clarion,"$3,712,055 ",$0.00 ,"$3,712,055 ","$3,308,456.87 ","$403,598.43 ","$3,589,296.09 ","$122,759.00 ",0.03
106168003,Redbank Valley SD,Clarion,"$9,406,177 ",$0.00 ,"$9,406,177 ","$8,448,639.50 ","$957,537.63 ","$8,935,063.06 ","$471,114.00 ",0.05
106169003,Union  SD,Clarion,"$6,322,515 ",$0.00 ,"$6,322,515 ","$5,460,000.14 ","$862,515.32 ","$6,084,223.46 ","$238,292.00 ",0.04
110171003,Clearfield Area SD,Clearfield,"$14,187,314 ",$0.00 ,"$14,187,314 ","$12,062,263.81 ","$2,125,050.18 ","$13,229,598.70 ","$957,715.00 ",0.07
110171803,Curwensville Area SD,Clearfield,"$8,284,448 ",$0.00 ,"$8,284,448 ","$7,181,350.38 ","$1,103,097.14 ","$7,895,399.82 ","$389,048.00 ",0.05
106172003,Dubois Area SD,Clearfield,"$18,555,251 ","$752,511.78 ","$17,802,739 ","$15,172,332.59 ","$2,630,405.98 ","$16,800,316.91 ","$1,754,934.00 ",0.10
110173003,Glendale SD,Clearfield,"$6,251,647 ",$0.00 ,"$6,251,647 ","$5,463,973.50 ","$787,673.62 ","$6,021,951.00 ","$229,696.00 ",0.04
110173504,Harmony Area SD,Clearfield,"$2,946,365 ",$0.00 ,"$2,946,365 ","$2,652,719.53 ","$293,645.51 ","$2,838,527.05 ","$107,838.00 ",0.04
110175003,Moshannon Valley SD,Clearfield,"$7,676,297 ","$212,108.47 ","$7,464,189 ","$6,722,763.32 ","$741,425.45 ","$7,208,073.81 ","$468,223.00 ",0.07
110177003,Philipsburg-Osceola Area SD,Clearfield,"$12,911,002 ",$0.00 ,"$12,911,002 ","$11,264,138.46 ","$1,646,864.00 ","$12,267,152.84 ","$643,849.00 ",0.05
110179003,West Branch Area SD,Clearfield,"$8,268,784 ","$240,855.86 ","$8,027,928 ","$7,186,016.24 ","$841,911.99 ","$7,749,873.92 ","$518,910.00 ",0.07
110183602,Keystone Central SD,Clinton,"$22,504,797 ",$0.00 ,"$22,504,797 ","$19,362,678.18 ","$3,142,119.02 ","$21,438,341.99 ","$1,066,455.00 ",0.05
116191004,Benton Area SD,Columbia,"$3,759,034 ",$0.00 ,"$3,759,034 ","$3,138,374.11 ","$620,660.07 ","$3,481,425.55 ","$277,608.00 ",0.08
116191103,Berwick Area SD,Columbia,"$16,523,397 ","$582,082.04 ","$15,941,315 ","$13,906,646.52 ","$2,034,668.58 ","$15,281,510.77 ","$1,241,886.00 ",0.08
116191203,Bloomsburg Area SD,Columbia,"$6,635,894 ",$0.00 ,"$6,635,894 ","$5,370,738.17 ","$1,265,155.93 ","$6,285,729.59 ","$350,164.00 ",0.06
116191503,Central Columbia SD,Columbia,"$7,373,411 ",$0.00 ,"$7,373,411 ","$6,133,595.11 ","$1,239,816.27 ","$6,929,664.03 ","$443,747.00 ",0.06
116195004,Millville Area SD,Columbia,"$4,494,837 ",$0.00 ,"$4,494,837 ","$3,976,282.08 ","$518,555.22 ","$4,265,649.76 ","$229,187.00 ",0.05
116197503,Southern Columbia Area SD,Columbia,"$5,129,056 ",$0.00 ,"$5,129,056 ","$4,374,723.43 ","$754,332.78 ","$4,869,730.83 ","$259,325.00 ",0.05
105201033,Conneaut SD,Crawford,"$12,055,682 ",$0.00 ,"$12,055,682 ","$10,713,141.95 ","$1,342,539.81 ","$11,430,534.15 ","$625,148.00 ",0.05
105201352,Crawford Central SD,Crawford,"$18,386,141 ",$0.00 ,"$18,386,141 ","$15,385,346.56 ","$3,000,794.20 ","$17,009,159.43 ","$1,376,982.00 ",0.08
105204703,Penncrest SD,Crawford,"$19,730,910 ",$0.00 ,"$19,730,910 ","$18,367,683.17 ","$1,363,226.76 ","$19,195,517.70 ","$535,392.00 ",0.03
115210503,Big Spring SD,Cumberland,"$10,956,549 ",$0.00 ,"$10,956,549 ","$8,942,013.93 ","$2,014,535.01 ","$10,055,306.19 ","$901,243.00 ",0.09
115211003,Camp Hill SD,Cumberland,"$1,971,758 ",$0.00 ,"$1,971,758 ","$1,284,585.66 ","$687,172.45 ","$1,710,314.03 ","$261,444.00 ",0.15
115211103,Carlisle Area SD,Cumberland,"$15,904,147 ",$0.00 ,"$15,904,147 ","$11,826,256.37 ","$4,077,890.66 ","$14,177,277.96 ","$1,726,869.00 ",0.12
115211603,Cumberland Valley SD,Cumberland,"$14,564,122 ",$0.00 ,"$14,564,122 ","$10,092,875.73 ","$4,471,246.73 ","$12,391,077.74 ","$2,173,044.00 ",0.18
115212503,East Pennsboro Area SD,Cumberland,"$7,745,559 ","$458,540.46 ","$7,287,019 ","$5,684,189.94 ","$1,602,828.80 ","$6,666,859.86 ","$1,078,699.00 ",0.16
115216503,Mechanicsburg Area SD,Cumberland,"$8,568,925 ",$0.00 ,"$8,568,925 ","$5,856,857.75 ","$2,712,067.39 ","$7,603,216.16 ","$965,709.00 ",0.13
115218003,Shippensburg Area SD,Cumberland,"$12,036,239 ","$663,902.44 ","$11,372,337 ","$9,051,665.08 ","$2,320,671.90 ","$10,389,515.31 ","$1,646,724.00 ",0.16
115218303,South Middleton SD,Cumberland,"$5,054,881 ",$0.00 ,"$5,054,881 ","$4,098,356.62 ","$956,524.42 ","$4,752,119.45 ","$302,762.00 ",0.06
115221402,Central Dauphin SD,Dauphin,"$23,645,811 ",$0.00 ,"$23,645,811 ","$16,004,019.18 ","$7,641,791.55 ","$20,746,567.27 ","$2,899,244.00 ",0.14
115221753,Derry Township SD,Dauphin,"$4,372,028 ",$0.00 ,"$4,372,028 ","$2,181,881.59 ","$2,190,145.95 ","$3,295,931.03 ","$1,076,097.00 ",0.33
115222504,Halifax Area SD,Dauphin,"$6,051,737 ",$0.00 ,"$6,051,737 ","$5,411,774.88 ","$639,962.28 ","$5,795,096.08 ","$256,641.00 ",0.04
115222752,Harrisburg City SD,Dauphin,"$71,297,205 ","$5,452,923.98 ","$65,844,281 ","$46,783,577.16 ","$19,060,703.39 ","$59,301,897.93 ","$11,995,307.00 ",0.20
115224003,Lower Dauphin SD,Dauphin,"$10,875,352 ",$0.00 ,"$10,875,352 ","$9,161,313.14 ","$1,714,038.96 ","$10,263,395.72 ","$611,956.00 ",0.06
115226003,Middletown Area SD,Dauphin,"$9,264,915 ",$0.00 ,"$9,264,915 ","$7,424,715.39 ","$1,840,199.59 ","$8,726,297.87 ","$538,617.00 ",0.06
115226103,Millersburg Area SD,Dauphin,"$4,733,670 ",$0.00 ,"$4,733,670 ","$3,871,724.99 ","$861,945.23 ","$4,212,508.36 ","$521,162.00 ",0.12
115228003,Steelton-Highspire SD,Dauphin,"$11,225,084 ","$708,852.46 ","$10,516,232 ","$8,038,437.25 ","$2,477,794.75 ","$10,106,947.98 ","$1,118,136.00 ",0.11
115228303,Susquehanna Township SD,Dauphin,"$5,361,379 ",$0.00 ,"$5,361,379 ","$3,432,597.82 ","$1,928,781.04 ","$4,627,816.78 ","$733,562.00 ",0.16
115229003,Upper Dauphin Area SD,Dauphin,"$6,431,707 ",$0.00 ,"$6,431,707 ","$5,519,745.99 ","$911,961.45 ","$6,118,721.33 ","$312,986.00 ",0.05
125231232,Chester-Upland SD,Delaware,"$95,611,389 ","$4,864,688.49 ","$90,746,701 ","$73,742,175.60 ","$17,004,525.38 ","$84,613,852.41 ","$10,997,537.00 ",0.13
125231303,Chichester SD,Delaware,"$11,751,737 ",$0.00 ,"$11,751,737 ","$9,800,529.05 ","$1,951,207.53 ","$11,489,047.25 ","$262,690.00 ",0.02
125234103,Garnet Valley SD,Delaware,"$5,165,009 ",$0.00 ,"$5,165,009 ","$3,781,398.68 ","$1,383,610.63 ","$4,614,038.58 ","$550,970.00 ",0.12
125234502,Haverford Township SD,Delaware,"$5,030,580 ",$0.00 ,"$5,030,580 ","$2,999,989.77 ","$2,030,590.13 ","$3,976,606.35 ","$1,053,974.00 ",0.27
125235103,Interboro SD,Delaware,"$11,197,088 ",$0.00 ,"$11,197,088 ","$8,248,266.56 ","$2,948,821.06 ","$9,916,641.04 ","$1,280,447.00 ",0.13
125235502,Marple Newtown SD,Delaware,"$3,222,338 ",$0.00 ,"$3,222,338 ","$2,462,699.95 ","$759,638.15 ","$2,899,033.27 ","$323,305.00 ",0.11
125236903,Penn-Delco SD,Delaware,"$7,253,913 ",$0.00 ,"$7,253,913 ","$5,902,283.92 ","$1,351,629.44 ","$6,742,590.94 ","$511,322.00 ",0.08
125237603,Radnor Township SD,Delaware,"$2,680,483 ",$0.00 ,"$2,680,483 ","$1,848,138.87 ","$832,344.23 ","$2,390,515.35 ","$289,968.00 ",0.12
125237702,Ridley SD,Delaware,"$13,858,916 ",$0.00 ,"$13,858,916 ","$11,161,324.90 ","$2,697,591.39 ","$12,784,093.05 ","$1,074,823.00 ",0.08
125237903,Rose Tree Media SD,Delaware,"$3,771,072 ",$0.00 ,"$3,771,072 ","$2,714,970.86 ","$1,056,101.21 ","$3,260,148.50 ","$510,924.00 ",0.16
125238402,Southeast Delco SD,Delaware,"$24,959,766 ","$2,111,918.86 ","$22,847,847 ","$15,465,631.75 ","$7,382,215.31 ","$19,300,306.29 ","$5,659,460.00 ",0.29
125238502,Springfield SD,Delaware,"$4,064,771 ",$0.00 ,"$4,064,771 ","$2,643,080.37 ","$1,421,690.41 ","$3,419,308.57 ","$645,462.00 ",0.19
125239452,Upper Darby SD,Delaware,"$55,032,370 ","$4,311,241.87 ","$50,721,128 ","$35,651,176.29 ","$15,069,951.96 ","$44,832,245.56 ","$10,200,124.00 ",0.23
125239603,Wallingford-Swarthmore SD,Delaware,"$4,236,509 ",$0.00 ,"$4,236,509 ","$3,176,630.56 ","$1,059,878.15 ","$3,777,608.21 ","$458,901.00 ",0.12
125239652,William Penn SD,Delaware,"$30,347,150 ","$1,986,463.05 ","$28,360,687 ","$21,417,002.96 ","$6,943,684.38 ","$25,495,145.87 ","$4,852,004.00 ",0.19
109243503,Johnsonburg Area SD,Elk,"$5,517,322 ",$0.00 ,"$5,517,322 ","$4,940,531.58 ","$576,790.00 ","$5,210,956.80 ","$306,365.00 ",0.06
109246003,Ridgway Area SD,Elk,"$5,518,335 ",$0.00 ,"$5,518,335 ","$4,909,284.84 ","$609,050.22 ","$5,313,878.43 ","$204,457.00 ",0.04
109248003,Saint Marys Area SD,Elk,"$7,120,820 ",$0.00 ,"$7,120,820 ","$6,283,477.28 ","$837,342.35 ","$6,842,673.33 ","$278,147.00 ",0.04
105251453,Corry Area SD,Erie,"$15,163,895 ","$538,123.29 ","$14,625,772 ","$12,744,761.10 ","$1,881,010.70 ","$13,834,293.30 ","$1,329,602.00 ",0.10
105252602,Erie City SD,Erie,"$104,119,083 ","$6,672,321.35 ","$97,446,762 ","$74,123,653.31 ","$23,323,108.59 ","$88,302,621.78 ","$15,816,461.00 ",0.18
105253303,Fairview SD,Erie,"$3,827,524 ",$0.00 ,"$3,827,524 ","$2,993,662.06 ","$833,861.69 ","$3,434,153.71 ","$393,370.00 ",0.11
105253553,Fort LeBoeuf SD,Erie,"$7,657,046 ",$0.00 ,"$7,657,046 ","$6,549,616.73 ","$1,107,429.02 ","$7,321,219.16 ","$335,827.00 ",0.05
105253903,General McLane SD,Erie,"$11,228,631 ",$0.00 ,"$11,228,631 ","$10,205,272.96 ","$1,023,358.16 ","$10,701,076.36 ","$527,555.00 ",0.05
105254053,Girard SD,Erie,"$9,864,405 ","$341,767.34 ","$9,522,638 ","$8,327,989.73 ","$1,194,648.20 ","$9,429,171.21 ","$435,234.00 ",0.05
105254353,Harbor Creek SD,Erie,"$9,731,820 ",$0.00 ,"$9,731,820 ","$8,564,449.45 ","$1,167,370.42 ","$9,282,873.74 ","$448,946.00 ",0.05
105256553,Iroquois SD,Erie,"$9,885,778 ",$0.00 ,"$9,885,778 ","$8,190,179.21 ","$1,695,598.43 ","$8,983,452.66 ","$902,325.00 ",0.10
105257602,Millcreek Township SD,Erie,"$16,417,330 ",$0.00 ,"$16,417,330 ","$13,304,085.95 ","$3,113,244.36 ","$15,273,360.67 ","$1,143,969.00 ",0.07
105258303,North East SD,Erie,"$9,431,104 ",$0.00 ,"$9,431,104 ","$8,303,240.53 ","$1,127,863.05 ","$9,013,209.90 ","$417,894.00 ",0.05
105258503,Northwestern  SD,Erie,"$9,875,611 ","$205,827.49 ","$9,669,784 ","$8,950,314.13 ","$719,470.29 ","$9,508,650.18 ","$366,961.00 ",0.04
105259103,Union City Area SD,Erie,"$10,106,309 ",$0.00 ,"$10,106,309 ","$9,107,949.33 ","$998,359.72 ","$9,710,624.09 ","$395,685.00 ",0.04
105259703,Wattsburg Area SD,Erie,"$7,521,947 ",$0.00 ,"$7,521,947 ","$6,532,990.88 ","$988,956.04 ","$7,011,101.38 ","$510,846.00 ",0.07
101260303,Albert Gallatin Area SD,Fayette,"$25,709,073 ","$651,220.45 ","$25,057,853 ","$22,781,510.61 ","$2,276,341.99 ","$24,595,886.16 ","$1,113,187.00 ",0.05
101260803,Brownsville Area SD,Fayette,"$14,621,719 ","$566,385.28 ","$14,055,334 ","$12,075,533.23 ","$1,979,800.55 ","$13,620,191.98 ","$1,001,527.00 ",0.07
101261302,Connellsville Area SD,Fayette,"$33,472,494 ","$879,541.86 ","$32,592,952 ","$29,518,512.55 ","$3,074,439.81 ","$31,403,825.48 ","$2,068,669.00 ",0.07
101262903,Frazier SD,Fayette,"$7,432,266 ",$0.00 ,"$7,432,266 ","$6,671,408.99 ","$760,856.72 ","$7,076,387.01 ","$355,879.00 ",0.05
101264003,Laurel Highlands SD,Fayette,"$16,833,644 ","$711,396.93 ","$16,122,247 ","$13,635,558.02 ","$2,486,688.95 ","$15,182,618.98 ","$1,651,025.00 ",0.11
101268003,Uniontown Area SD,Fayette,"$19,037,469 ","$855,743.34 ","$18,181,726 ","$15,190,473.49 ","$2,991,252.05 ","$16,655,731.32 ","$2,381,738.00 ",0.14
106272003,Forest Area SD,Forest,"$3,000,266 ",$0.00 ,"$3,000,266 ","$2,496,827.38 ","$503,438.58 ","$2,978,140.19 ","$22,126.00 ",0.01
112281302,Chambersburg Area SD,Franklin,"$26,308,413 ",$0.00 ,"$26,308,413 ","$19,338,839.46 ","$6,969,573.23 ","$23,244,017.09 ","$3,064,396.00 ",0.13
112282004,Fannett-Metal SD,Franklin,"$2,604,775 ","$78,870.81 ","$2,525,904 ","$2,250,210.60 ","$275,693.03 ","$2,468,624.63 ","$136,150.00 ",0.06
112283003,Greencastle-Antrim SD,Franklin,"$7,421,768 ",$0.00 ,"$7,421,768 ","$5,682,189.18 ","$1,739,579.28 ","$6,683,762.11 ","$738,006.00 ",0.11
112286003,Tuscarora SD,Franklin,"$9,056,978 ",$0.00 ,"$9,056,978 ","$7,857,773.32 ","$1,199,204.77 ","$8,612,597.52 ","$444,380.00 ",0.05
112289003,Waynesboro Area SD,Franklin,"$15,759,891 ",$0.00 ,"$15,759,891 ","$12,608,363.85 ","$3,151,526.88 ","$14,444,128.91 ","$1,315,762.00 ",0.09
111291304,Central Fulton SD,Fulton,"$6,151,216 ",$0.00 ,"$6,151,216 ","$5,290,089.77 ","$861,126.41 ","$5,865,660.68 ","$285,555.00 ",0.05
111292304,Forbes Road SD,Fulton,"$3,137,479 ",$0.00 ,"$3,137,479 ","$2,761,259.40 ","$376,219.28 ","$2,965,651.46 ","$171,828.00 ",0.06
111297504,Southern Fulton SD,Fulton,"$4,762,592 ",$0.00 ,"$4,762,592 ","$4,304,212.27 ","$458,379.72 ","$4,592,559.22 ","$170,033.00 ",0.04
101301303,Carmichaels Area SD,Greene,"$7,639,947 ",$0.00 ,"$7,639,947 ","$6,675,656.29 ","$964,290.98 ","$7,313,845.95 ","$326,101.00 ",0.04
101301403,Central Greene SD,Greene,"$9,248,555 ",$0.00 ,"$9,248,555 ","$7,958,262.72 ","$1,290,291.81 ","$8,810,166.06 ","$438,389.00 ",0.05
101303503,Jefferson-Morgan SD,Greene,"$5,755,988 ",$0.00 ,"$5,755,988 ","$5,278,929.62 ","$477,058.53 ","$5,556,608.81 ","$199,379.00 ",0.04
